,N4_trace_good,N4_trace_bad,N1_trace_good,N1_trace_bad,N4_fit_good,N4_fit_bad,N1_fit_good,N1_fit_bad,frames
0,7855,6764,8042,8746,7646.8335,7743.9736,9215.412,8464.321,0
1,7613,6704,9094,8658,7646.8335,7743.9736,9215.412,8464.321,1
2,7501,6790,8975,8507,7646.8335,7743.9736,9215.412,8464.321,2
3,7332,6810,9893,8570,7218.46,7275.7197,9215.412,8464.321,3
4,7503,6849,10483,8694,7218.46,7275.7197,9215.412,8464.321,4
5,7264,6737,10743,8857,7218.46,7275.7197,9215.412,8464.321,5
6,7421,6853,9536,8849,7218.46,7275.7197,9215.412,8464.321,6
7,7235,6791,9302,8969,7218.46,7275.7197,9215.412,8464.321,7
8,7401,6791,9146,8736,7218.46,7275.7197,9215.412,8464.321,8
9,7251,6995,9252,8810,7218.46,7275.7197,9215.412,8464.321,9
10,7264,6774,8931,8647,7218.46,7275.7197,9215.412,8464.321,10
11,7515,7060,9127,8607,7218.46,7275.7197,9215.412,8464.321,11
12,7350,6847,9127,8882,7218.46,7275.7197,9215.412,8464.321,12
13,7345,6834,8677,8532,7218.46,7275.7197,9215.412,8464.321,13
14,7401,6770,8961,8649,7218.46,7275.7197,9215.412,8464.321,14
15,6801,6956,9041,8550,6790.087,6807.4653,9215.412,8464.321,15
16,6940,6807,9049,8668,6790.087,6807.4653,9215.412,8464.321,16
17,6631,6753,9050,8690,6790.087,6807.4653,9215.412,8464.321,17
18,6563,6766,8951,9592,6790.087,6807.4653,9215.412,8464.321,18
19,6921,6840,9058,9687,6790.087,6807.4653,9215.412,8464.321,19
20,6899,6901,9069,9476,6790.087,6807.4653,9215.412,8464.321,20
21,6875,7519,9060,9699,6790.087,6807.4653,9215.412,8464.321,21
22,7410,7023,9093,10110,7218.46,7275.7197,9215.412,8464.321,22
23,7308,6886,9063,9857,7218.46,7275.7197,9215.412,8464.321,23
24,7364,6971,8944,9650,7218.46,7275.7197,9215.412,8464.321,24
25,7392,7441,9001,9775,7218.46,7275.7197,9215.412,8464.321,25
26,7489,7218,8795,9777,7218.46,7275.7197,9215.412,8464.321,26
27,7292,7327,9202,9830,7218.46,7275.7197,9215.412,8464.321,27
28,7407,7285,9044,9602,7218.46,7275.7197,9215.412,8464.321,28
29,7356,7234,9168,9820,7218.46,7275.7197,9215.412,8464.321,29
30,7253,7308,8939,9673,7218.46,7275.7197,9215.412,8464.321,30
31,7386,7265,8955,9693,7218.46,7275.7197,9215.412,8464.321,31
32,7340,7361,9156,9763,7218.46,7275.7197,9215.412,8464.321,32
33,6968,7255,9002,9712,6790.087,6807.4653,9215.412,8464.321,33
34,7017,7363,8888,9599,6790.087,6807.4653,9215.412,8464.321,34
35,6971,7154,8833,8638,6790.087,6807.4653,9215.412,8464.321,35
36,6764,7343,8936,8745,6790.087,6807.4653,9215.412,8464.321,36
37,6466,7107,8764,8365,6361.714,6339.2114,9215.412,8464.321,37
38,6445,6910,9064,8098,6361.714,6339.2114,9215.412,8464.321,38
39,6465,6863,8956,8458,6361.714,6339.2114,9215.412,8464.321,39
40,6418,7358,8949,8685,6361.714,6339.2114,9215.412,8464.321,40
41,6397,7226,8917,8839,6361.714,6339.2114,9215.412,8464.321,41
42,6525,7270,8839,9524,6361.714,6339.2114,9215.412,8464.321,42
43,6856,7276,9056,9705,6790.087,6807.4653,9215.412,8464.321,43
44,7013,7184,8967,9814,6790.087,6807.4653,9215.412,8464.321,44
45,6989,7319,9059,9789,6790.087,6807.4653,9215.412,8464.321,45
46,6966,7351,8730,9682,6790.087,6807.4653,9215.412,8464.321,46
47,6965,7090,8964,9668,6790.087,6807.4653,9215.412,8464.321,47
48,6856,7384,8850,9492,6790.087,6807.4653,9215.412,8464.321,48
49,7069,7401,9048,9581,7218.46,7275.7197,9215.412,8464.321,49
50,7534,7359,9085,9776,7218.46,7275.7197,9215.412,8464.321,50
