,qpaint,lbfcs,n
0,0.0,0.0,1
1,0.0,0.0,2
2,0.015237106,0.0,3
3,0.26982054,0.0,4
4,0.4207728,0.0,5
5,0.13754196,0.0,6
6,0.0037303686,0.0,7
7,3.581374e-34,8.160312e-20,8
8,6.724098e-27,0.3926481,9
9,2.8247766e-21,0.57578045,10
10,6.675216e-17,0.031514663,11
11,1.7288147e-13,3.921795e-09,12
12,8.098509e-11,1.3345227e-08,13
13,9.935162e-09,6.7555057e-23,14
14,4.2327974e-07,1.248136e-18,15
15,7.878253e-06,2.5646593e-15,16
16,7.622102e-05,9.644067e-13,17
17,0.00043733855,9.646947e-11,18
18,0.0016879897,3.400666e-09,19
19,0.004715628,5.2781395e-08,20
20,0.010299877,4.3085353e-07,21
21,0.018451393,2.1021779e-06,22
22,0.028522313,6.83246e-06,23
23,0.039367963,1.651877e-05,24
24,0.04933029,3.089128e-05,25
