,qpaint_trace,qpaint_fit,lbfcs_trace,lbfcs_fit,frames
0,7639.740234375,7729.6304,12581.1669921875,12571.896,0
1,7663.9111328125,7729.6304,12440.41796875,12571.896,1
2,7530.197265625,7729.6304,12506.203125,12571.896,2
3,7782.95654296875,7729.6304,12748.650390625,12571.896,3
4,7738.03466796875,7729.6304,12585.091796875,12571.896,4
5,7869.78125,7729.6304,12617.6708984375,12571.896,5
6,7766.09228515625,7729.6304,12546.634765625,12571.896,6
7,7671.6259765625,7729.6304,12701.87890625,12571.896,7
8,9037.390625,8936.858,12809.3369140625,12571.896,8
9,9031.1591796875,8936.858,12369.904296875,12571.896,9
10,9999.421875,10144.087,12592.15625,12571.896,10
11,10215.921875,10144.087,12615.55078125,12571.896,11
12,7693.2236328125,7729.6304,12705.76953125,12571.896,12
13,7705.734375,7729.6304,12707.921875,12571.896,13
14,7810.291015625,7729.6304,12542.3515625,12571.896,14
15,7613.0361328125,7729.6304,12508.353515625,12571.896,15
16,7872.7958984375,7729.6304,11257.642578125,11361.142,16
17,7755.45849609375,7729.6304,11394.455078125,11361.142,17
18,7710.4599609375,7729.6304,11413.861328125,11361.142,18
19,7737.3759765625,7729.6304,11397.845703125,11361.142,19
20,7673.056640625,7729.6304,11308.40234375,11361.142,20
21,9134.681640625,8936.858,11459.98828125,11361.142,21
22,8889.0537109375,8936.858,11293.9765625,11361.142,22
23,8996.47265625,8936.858,11416.37890625,11361.142,23
24,8883.80078125,8936.858,11242.4599609375,11361.142,24
25,8721.966796875,8936.858,11494.572265625,11361.142,25
26,9013.7099609375,8936.858,11145.8818359375,11361.142,26
27,8908.482421875,8936.858,11484.7373046875,11361.142,27
28,8831.1845703125,8936.858,10210.046875,10150.387,28
29,8895.08984375,8936.858,9946.841796875,10150.387,29
30,8806.67578125,8936.858,10003.8515625,10150.387,30
31,7782.1181640625,7729.6304,10092.896484375,10150.387,31
32,8897.359375,8936.858,10222.62109375,10150.387,32
33,8831.5361328125,8936.858,11385.60546875,11361.142,33
34,9103.470703125,8936.858,11503.87890625,11361.142,34
