frames,trace
0,10169.2060546875
1,9940.8984375
2,11399.556640625
3,11449.615234375
4,11333.568359375
5,10021.615234375
6,10163.9755859375
7,10062.578125
8,10222.5615234375
9,10288.1455078125
10,10287.4375
11,10326.76953125
12,10318.712890625
13,10172.59765625
14,11418.48828125
15,11296.697265625
16,11268.85546875
17,11535.00390625
18,12343.71875
19,12386.3203125
20,12721.294921875
21,12525.162109375
22,12605.216796875
23,12660.2705078125
24,12545.712890625
25,11551.5380859375
26,11518.9462890625
27,11510.56640625
28,11261.27734375
29,10982.009765625
30,10100.271484375
31,10159.0732421875
32,10336.833984375
33,9846.869140625
34,10186.78125
35,10191.7109375
36,10081.107421875
37,10241.849609375
38,11286.591796875
39,11791.353515625
40,11422.66796875
41,11266.71484375
42,11305.6640625
43,11508.443359375
44,11498.5869140625
45,11328.958984375
46,11334.60546875
47,9967.45703125
48,11297.6865234375
49,11331.2529296875
50,11417.3251953125
51,11549.9765625
52,12398.10546875
53,12466.939453125
54,12541.0556640625
55,11496.1279296875
56,10000.625
57,10198.365234375
58,10179.318359375
59,11359.53125
60,11380.021484375
61,11384.6103515625
62,11449.509765625
63,11398.333984375
64,12584.0908203125
65,12616.216796875
66,12502.32421875
67,12507.96484375
68,12432.96875
69,12377.021484375
70,12589.759765625
71,12713.4599609375
72,12442.87890625
73,12424.95703125
74,12841.4130859375
75,12559.28515625
76,12529.15234375
77,12553.25
78,12585.59765625
79,12638.056640625
80,12608.6845703125
81,12616.56640625
82,12792.982421875
83,12759.25390625
84,12524.681640625
85,12761.3828125
86,12347.50390625
87,12591.6552734375
88,12634.732421875
89,13901.6953125
90,12431.1103515625
91,11369.283203125
92,11308.9189453125
93,11372.837890625
94,11409.322265625
95,11377.7509765625
96,11223.451171875
97,12690.39453125
98,12688.373046875
99,12388.560546875
100,12653.24609375
101,11456.84375
102,10057.525390625
103,10217.109375
104,10149.21875
105,10173.337890625
106,11459.669921875
107,11413.6767578125
108,11093.951171875
109,11323.791015625
110,11277.7353515625
111,10119.30078125
112,9979.58984375
113,10222.787109375
114,10231.919921875
115,11398.318359375
116,11299.71875
117,12585.2841796875
118,12554.3134765625
119,11095.953125
120,10018.501953125
121,10217.62890625
122,10302.625
123,8966.6044921875
124,8997.3984375
125,9066.064453125
126,9003.37109375
127,8874.126953125
128,8971.1162109375
129,9042.6875
130,8971.63671875
131,8938.84375
132,11512.9404296875
133,11427.6787109375
134,11288.25
135,11328.6396484375
136,11228.341796875
137,10129.099609375
138,10154.08984375
139,10218.33984375
140,11400.271484375
141,11457.7890625
142,11482.451171875
143,11140.23046875
144,11412.181640625
145,11285.4013671875
146,11418.763671875
147,11253.708984375
148,11281.8896484375
149,11261.0517578125
150,12564.884765625
151,12664.5234375
152,12634.4638671875
153,12889.453125
154,12694.93359375
155,12623.26953125
156,12402.806640625
157,12409.2109375
158,12686.287109375
159,12640.8876953125
160,12608.607421875
161,11336.35546875
162,11510.546875
163,11405.400390625
164,11293.7626953125
165,11676.392578125
166,11565.00390625
167,11518.251953125
168,10230.3564453125
169,9935.115234375
