,N4_trace_good,N4_fit_good,N4_trace_bad,N4_fit_bad,frames
0,12304,11887.693,6764,6807.3857,0
1,12215,11887.693,6704,6807.3857,1
2,12138,11887.693,6790,6807.3857,2
3,10784,10660.584,6810,6807.3857,3
4,11041,10660.584,6849,6807.3857,4
5,10981,10660.584,6737,6807.3857,5
6,10729,10660.584,6853,6807.3857,6
7,10837,10660.584,6791,6807.3857,7
8,10930,10660.584,6791,6807.3857,8
9,11063,10660.584,6995,6807.3857,9
10,10949,10660.584,6774,6807.3857,10
11,11100,10660.584,7060,6807.3857,11
12,11082,10660.584,6847,6807.3857,12
13,11035,10660.584,6834,6807.3857,13
14,10933,10660.584,6770,6807.3857,14
15,10141,10660.584,6956,6807.3857,15
16,9344,9433.476,6807,6807.3857,16
17,9437,9433.476,6753,6807.3857,17
18,9670,9433.476,6766,6807.3857,18
19,9412,9433.476,6840,6807.3857,19
20,9582,9433.476,6901,6807.3857,20
21,9809,9433.476,7519,6807.3857,21
22,9574,9433.476,7023,6807.3857,22
23,9328,9433.476,6886,6807.3857,23
24,9451,9433.476,6971,6807.3857,24
25,9465,9433.476,7441,7275.607,25
26,9473,9433.476,7218,7275.607,26
27,9676,9433.476,7327,7275.607,27
28,9562,9433.476,7285,7275.607,28
29,9431,9433.476,7234,7275.607,29
30,9354,9433.476,7308,7275.607,30
31,9630,9433.476,7265,7275.607,31
32,10053,9433.476,7361,7275.607,32
33,10762,10660.584,7255,7275.607,33
34,10986,10660.584,7363,7275.607,34
35,10839,10660.584,7154,7275.607,35
36,11107,10660.584,7343,7275.607,36
37,10952,10660.584,7107,7275.607,37
38,10859,10660.584,6910,6807.3857,38
39,10904,10660.584,6863,6807.3857,39
40,10961,10660.584,7358,7275.607,40
41,11149,10660.584,7226,7275.607,41
42,10692,10660.584,7270,7275.607,42
43,10758,10660.584,7276,7275.607,43
44,10626,10660.584,7184,7275.607,44
45,10740,10660.584,7319,7275.607,45
46,10877,10660.584,7351,7275.607,46
47,10247,10660.584,7090,7275.607,47
48,9681,9433.476,7384,7275.607,48
49,9590,9433.476,7401,7275.607,49
50,9789,9433.476,7359,7275.607,50
51,9345,9433.476,7176,7275.607,51
52,9647,9433.476,7264,7275.607,52
53,9542,9433.476,7373,7275.607,53
54,9542,9433.476,7384,7275.607,54
55,9350,9433.476,7354,7275.607,55
56,8063,8206.367,7217,7275.607,56
57,8091,8206.367,7237,7275.607,57
58,9409,9433.476,7227,7275.607,58
59,9616,9433.476,7402,7275.607,59
