,n_true,n_fit,posterior
0,1,1,0.1
1,2,1,4.8296137e-05
2,3,1,5.730221e-14
3,4,1,0.0
4,5,1,0.0
5,6,1,0.0
6,7,1,0.0
7,8,1,0.0
8,9,1,0.0
9,10,1,0.0
10,11,1,0.0
11,12,1,0.0
12,13,1,0.0
13,14,1,0.0
14,15,1,0.0
15,16,1,0.0
16,17,1,0.0
17,18,1,0.0
18,19,1,0.0
19,20,1,0.0
20,21,1,0.0
21,22,1,0.0
22,23,1,0.0
23,24,1,0.0
24,25,1,0.0
25,26,1,0.0
26,27,1,0.0
27,28,1,0.0
28,29,1,0.0
29,30,1,0.0
30,1,2,0.8431015
31,2,2,0.85813713
32,3,2,0.0052588983
33,4,2,2.0357916e-06
34,5,2,3.1440514e-12
35,6,2,9.60756e-23
36,7,2,7.591273e-35
37,8,2,2.8e-44
38,9,2,0.0
39,10,2,0.0
40,11,2,0.0
41,12,2,0.0
42,13,2,0.0
43,14,2,0.0
44,15,2,0.0
45,16,2,0.0
46,17,2,0.0
47,18,2,0.0
48,19,2,0.0
49,20,2,0.0
50,21,2,0.0
51,22,2,0.0
52,23,2,0.0
53,24,2,0.0
54,25,2,0.0
55,26,2,0.0
56,27,2,0.0
57,28,2,0.0
58,29,2,0.0
59,30,2,0.0
60,1,3,0.056898464
61,2,3,0.1418023
62,3,3,0.84622127
63,4,3,0.15577705
64,5,3,0.0007034229
65,6,3,1.1102022e-08
66,7,3,6.0652615e-17
67,8,3,1.5919921e-22
68,9,3,2.2686058e-33
69,10,3,5.328e-42
70,11,3,0.0
71,12,3,0.0
72,13,3,0.0
73,14,3,0.0
74,15,3,0.0
75,16,3,0.0
76,17,3,0.0
77,18,3,0.0
78,19,3,0.0
79,20,3,0.0
80,21,3,0.0
81,22,3,0.0
82,23,3,0.0
83,24,3,0.0
84,25,3,0.0
85,26,3,0.0
86,27,3,0.0
87,28,3,0.0
88,29,3,0.0
89,30,3,0.0
90,1,4,1.8754687e-09
91,2,4,1.2289895e-05
92,3,4,0.1479586
93,4,4,0.72657096
94,5,4,0.46421185
95,6,4,0.0024821376
96,7,4,5.987073e-08
97,8,4,1.6455736e-11
98,9,4,5.814108e-18
99,10,4,5.7836097e-25
100,11,4,6.4213854e-36
101,12,4,3.97086e-40
102,13,4,0.0
103,14,4,0.0
104,15,4,0.0
105,16,4,0.0
106,17,4,0.0
107,18,4,0.0
108,19,4,0.0
109,20,4,0.0
110,21,4,0.0
111,22,4,0.0
112,23,4,0.0
113,24,4,0.0
114,25,4,0.0
115,26,4,0.0
116,27,4,0.0
117,28,4,0.0
118,29,4,0.0
119,30,4,0.0
120,1,5,1.7358157e-17
121,2,5,5.4704167e-12
122,3,5,0.0005610002
123,4,5,0.11319889
124,5,5,0.44585744
125,6,5,0.049293973
126,7,5,0.0006772178
127,8,5,5.653405e-06
128,9,5,1.0638775e-09
129,10,5,4.857549e-18
130,11,5,5.055195e-23
131,12,5,2.2748736e-26
132,13,5,1.32015e-40
133,14,5,3.6e-44
134,15,5,0.0
135,16,5,0.0
136,17,5,0.0
137,18,5,0.0
138,19,5,0.0
139,20,5,0.0
140,21,5,0.0
141,22,5,0.0
142,23,5,0.0
143,24,5,0.0
144,25,5,0.0
145,26,5,0.0
146,27,5,0.0
147,28,5,0.0
148,29,5,0.0
149,30,5,0.0
150,1,6,6.234182e-26
151,2,6,4.908036e-17
152,3,6,1.7346916e-07
153,4,6,0.0044447416
154,5,6,0.08890943
155,6,6,0.75578463
156,7,6,0.15335573
157,8,6,0.019889172
158,9,6,4.8688096e-05
159,10,6,3.9515157e-08
160,11,6,4.5935783e-14
161,12,6,2.2391745e-16
162,13,6,6.132814e-28
163,14,6,8.952359e-25
164,15,6,3.52836e-40
165,16,6,0.0
166,17,6,0.0
167,18,6,0.0
168,19,6,0.0
169,20,6,0.0
170,21,6,0.0
171,22,6,0.0
172,23,6,0.0
173,24,6,0.0
174,25,6,0.0
175,26,6,0.0
176,27,6,0.0
177,28,6,0.0
178,29,6,0.0
179,30,6,0.0
180,1,7,2.2417215e-34
181,2,7,1.2226011e-23
182,3,7,7.27599e-12
183,4,7,6.3085668e-06
