,posterior_10,posterior_20,n
0,0.0,0.0,1
1,0.0,0.0,2
2,0.0,0.0,3
3,2.4046098e-34,0.0,4
4,2.6560374e-22,0.0,5
5,1.0970074e-12,0.0,6
6,4.4449553e-07,0.0,7
7,0.0013524764,0.0,8
8,0.10024342,4.3e-44,9
9,0.5819534,1.2775432e-35,10
10,0.29319665,1.3818606e-26,11
11,0.022808483,4.4120243e-21,12
12,0.00044296094,4.2014287e-15,13
13,2.1392893e-06,6.348893e-10,14
14,4.081687e-09,1.1855022e-06,15
15,2.9645537e-12,0.00029064997,16
16,7.91335e-16,0.015290857,17
17,1.667729e-19,0.19522057,18
18,1.5324707e-23,0.15686415,19
19,9.038792e-28,0.4841202,20
20,3.303786e-32,0.053266197,21
21,7.850157e-37,0.086967655,22
22,1.4698e-41,0.007917314,23
23,0.0,5.1604253e-05,24
24,0.0,9.536509e-06,25
25,0.0,1.2929564e-07,26
26,0.0,8.686386e-10,27
27,0.0,3.753134e-12,28
28,0.0,1.0358094e-14,29
29,0.0,2.5326513e-17,30
30,0.0,2.4108772e-20,31
31,0.0,4.9494152e-23,32
32,0.0,3.9790705e-26,33
33,0.0,2.3679998e-29,34
34,0.0,7.9127844e-33,35
