,trace,fit,frames
0,8987.787109375,8941.844,0
1,10129.12109375,10152.7295,1
2,8773.724609375,8941.844,2
3,9056.017578125,8941.844,3
4,9061.2734375,8941.844,4
5,8857.994140625,8941.844,5
6,10012.943359375,10152.7295,6
7,8940.091796875,8941.844,7
8,8970.087890625,8941.844,8
9,8925.6748046875,8941.844,9
10,8891.392578125,8941.844,10
11,9126.970703125,8941.844,11
12,8873.345703125,8941.844,12
13,8914.275390625,8941.844,13
14,8949.1953125,8941.844,14
15,8862.2578125,8941.844,15
16,8807.65234375,8941.844,16
17,8917.27734375,8941.844,17
18,7747.53955078125,7730.957,18
19,7630.6259765625,7730.957,19
20,7751.712890625,7730.957,20
21,7611.17578125,7730.957,21
22,7773.01220703125,7730.957,22
23,7760.0986328125,7730.957,23
24,7859.251953125,7730.957,24
25,7753.42578125,7730.957,25
26,7587.0419921875,7730.957,26
27,7865.6435546875,7730.957,27
28,9095.0361328125,8941.844,28
29,9144.267578125,8941.844,29
30,10081.43359375,10152.7295,30
31,10199.880859375,10152.7295,31
32,10078.40234375,10152.7295,32
33,10376.900390625,10152.7295,33
34,8812.80078125,8941.844,34
35,8984.1005859375,8941.844,35
36,10105.15625,10152.7295,36
37,8901.177734375,8941.844,37
38,7729.1953125,7730.957,38
39,7839.36865234375,7730.957,39
40,7723.01171875,7730.957,40
41,7700.439453125,7730.957,41
42,7683.576171875,7730.957,42
43,7770.224609375,7730.957,43
44,7681.09765625,7730.957,44
45,7778.7744140625,7730.957,45
46,8986.060546875,8941.844,46
47,9040.568359375,8941.844,47
48,8905.345703125,8941.844,48
49,8847.8671875,8941.844,49
50,9040.099609375,8941.844,50
51,9089.4873046875,8941.844,51
52,10335.1123046875,10152.7295,52
53,8956.4267578125,8941.844,53
54,7590.2509765625,7730.957,54
55,7779.22021484375,7730.957,55
56,7794.37158203125,7730.957,56
57,7894.720703125,7730.957,57
58,8961.0859375,8941.844,58
59,8824.7431640625,8941.844,59
60,10437.4052734375,10152.7295,60
61,10080.1796875,10152.7295,61
62,10299.8955078125,10152.7295,62
63,9115.119140625,8941.844,63
64,9161.935546875,8941.844,64
65,7659.6748046875,7730.957,65
66,7758.2626953125,7730.957,66
67,7695.939453125,7730.957,67
68,7674.18359375,7730.957,68
69,7965.0908203125,7730.957,69
70,7726.66552734375,7730.957,70
71,7901.826171875,7730.957,71
72,7624.109375,7730.957,72
73,7755.64306640625,7730.957,73
74,7652.0419921875,7730.957,74
75,7675.912109375,7730.957,75
76,7660.07861328125,7730.957,76
77,7806.5537109375,7730.957,77
78,7637.81103515625,7730.957,78
79,7745.5068359375,7730.957,79
80,7789.8291015625,7730.957,80
81,7659.8330078125,7730.957,81
82,7711.9951171875,7730.957,82
83,7590.34130859375,7730.957,83
84,7692.03125,7730.957,84
85,7686.19921875,7730.957,85
86,7827.64697265625,7730.957,86
87,7654.0283203125,7730.957,87
88,7561.2822265625,7730.957,88
89,7656.439453125,7730.957,89
90,7652.89453125,7730.957,90
91,8933.19921875,8941.844,91
92,8768.2763671875,8941.844,92
93,8945.99609375,8941.844,93
94,8868.3447265625,8941.844,94
95,8850.94140625,8941.844,95
96,9018.55859375,8941.844,96
97,7795.17919921875,7730.957,97
98,7766.0693359375,7730.957,98
99,7738.81005859375,7730.957,99
100,7771.50634765625,7730.957,100
101,7792.416015625,7730.957,101
102,8913.5615234375,8941.844,102
103,9086.1865234375,8941.844,103
104,9001.025390625,8941.844,104
105,9036.90234375,8941.844,105
106,8942.6591796875,8941.844,106
107,9961.841796875,10152.7295,107
108,11604.919921875,11363.615,108
109,10210.9326171875,10152.7295,109
110,9894.1337890625,10152.7295,110
111,10166.587890625,10152.7295,111
112,10152.8984375,10152.7295,112
113,10181.41015625,10152.7295,113
114,8845.34375,8941.844,114
115,9012.51953125,8941.844,115
116,7866.0986328125,7730.957,116
117,7726.6474609375,7730.957,117
118,7726.2421875,7730.957,118
119,7695.5302734375,7730.957,119
120,7506.7216796875,7730.957,120
121,7771.5380859375,7730.957,121
122,7722.00341796875,7730.957,122
123,9001.025390625,8941.844,123
124,7670.443359375,7730.957,124
125,7742.04736328125,7730.957,125
126,7790.26123046875,7730.957,126
127,7861.07763671875,7730.957,127
128,7713.26708984375,7730.957,128
129,7598.79296875,7730.957,129
130,7835.9482421875,7730.957,130
131,7623.85595703125,7730.957,131
132,7774.408203125,7730.957,132
133,7614.6044921875,7730.957,133
134,7709.349609375,7730.957,134
135,7751.921875,7730.957,135
136,7790.8935546875,7730.957,136
137,7822.8447265625,7730.957,137
138,7706.80224609375,7730.957,138
139,7766.23193359375,7730.957,139
140,7646.4384765625,7730.957,140
141,9020.6572265625,8941.844,141
142,7813.57861328125,7730.957,142
143,7739.68994140625,7730.957,143
144,7836.7080078125,7730.957,144
145,7687.23388671875,7730.957,145
146,7757.16943359375,7730.957,146
147,7678.025390625,7730.957,147
148,7812.953125,7730.957,148
149,7807.19775390625,7730.957,149
150,8925.0361328125,8941.844,150
151,8988.7529296875,8941.844,151
152,10133.8515625,10152.7295,152
153,10438.3701171875,10152.7295,153
154,10009.09765625,10152.7295,154
155,9120.236328125,8941.844,155
156,7823.3857421875,7730.957,156
157,7932.658203125,7730.957,157
158,7803.685546875,7730.957,158
159,7678.1171875,7730.957,159
160,7607.8662109375,7730.957,160
161,7752.7783203125,7730.957,161
162,7815.84375,7730.957,162
163,7651.57666015625,7730.957,163
164,7710.669921875,7730.957,164
165,7703.25048828125,7730.957,165
166,7640.318359375,7730.957,166
167,7702.0048828125,7730.957,167
168,7860.9501953125,7730.957,168
169,7722.8798828125,7730.957,169
170,7665.98291015625,7730.957,170
171,7792.49267578125,7730.957,171
172,7665.5146484375,7730.957,172
173,7784.826171875,7730.957,173
174,7685.998046875,7730.957,174
175,7833.91796875,7730.957,175
176,7643.3984375,7730.957,176
177,7693.94140625,7730.957,177
178,7736.486328125,7730.957,178
179,7703.681640625,7730.957,179
180,7579.00390625,7730.957,180
181,7718.708984375,7730.957,181
182,7772.4013671875,7730.957,182
183,7706.29931640625,7730.957,183
184,7859.60400390625,7730.957,184
185,7580.796875,7730.957,185
186,7800.544921875,7730.957,186
187,7563.3828125,7730.957,187
188,8981.109375,8941.844,188
189,7770.8671875,7730.957,189
190,7751.4990234375,7730.957,190
191,7751.96630859375,7730.957,191
192,7722.7607421875,7730.957,192
193,7689.50830078125,7730.957,193
194,7720.474609375,7730.957,194
195,9168.56640625,8941.844,195
196,9087.99609375,8941.844,196
197,7680.38671875,7730.957,197
198,7688.5166015625,7730.957,198
199,7854.0712890625,7730.957,199
200,7642.748046875,7730.957,200
201,7738.318359375,7730.957,201
202,7667.1162109375,7730.957,202
203,7637.19677734375,7730.957,203
204,7539.64306640625,7730.957,204
205,7791.07568359375,7730.957,205
206,7681.06201171875,7730.957,206
207,7716.7724609375,7730.957,207
208,8937.169921875,8941.844,208
209,7621.40087890625,7730.957,209
210,7797.8837890625,7730.957,210
211,9052.048828125,8941.844,211
212,8955.59765625,8941.844,212
213,8964.544921875,8941.844,213
214,8820.849609375,8941.844,214
215,8821.85546875,8941.844,215
216,8892.078125,8941.844,216
217,9027.04296875,8941.844,217
218,7614.0654296875,7730.957,218
219,7843.248046875,7730.957,219
220,7400.39111328125,7730.957,220
221,7648.0263671875,7730.957,221
222,7694.1455078125,7730.957,222
223,7750.73583984375,7730.957,223
224,7641.3115234375,7730.957,224
225,7718.9794921875,7730.957,225
226,7573.78955078125,7730.957,226
227,7793.681640625,7730.957,227
228,7734.4482421875,7730.957,228
229,7795.9755859375,7730.957,229
230,7745.767578125,7730.957,230
231,7586.49169921875,7730.957,231
232,7766.56103515625,7730.957,232
233,7661.078125,7730.957,233
234,7488.890625,7730.957,234
235,9125.0556640625,8941.844,235
236,10246.2939453125,10152.7295,236
237,9901.986328125,10152.7295,237
238,7883.42431640625,7730.957,238
239,7720.10302734375,7730.957,239
240,7667.1826171875,7730.957,240
241,7734.984375,7730.957,241
242,7608.5556640625,7730.957,242
243,7707.8095703125,7730.957,243
244,7672.94140625,7730.957,244
245,7686.3173828125,7730.957,245
246,7653.28466796875,7730.957,246
247,7798.9716796875,7730.957,247
248,7813.0947265625,7730.957,248
249,7560.9970703125,7730.957,249
250,7884.04052734375,7730.957,250
251,7833.349609375,7730.957,251
252,8829.0546875,8941.844,252
253,10349.90234375,10152.7295,253
254,10068.474609375,10152.7295,254
255,10236.7109375,10152.7295,255
256,8944.4462890625,8941.844,256
257,8880.2734375,8941.844,257
258,10111.8125,10152.7295,258
259,8993.916015625,8941.844,259
260,10089.48828125,10152.7295,260
261,7579.9755859375,7730.957,261
262,7743.5927734375,7730.957,262
263,7625.744140625,7730.957,263
264,7739.158203125,7730.957,264
265,7831.87548828125,7730.957,265
266,7724.41015625,7730.957,266
267,7666.08203125,7730.957,267
268,7748.0888671875,7730.957,268
269,7671.8544921875,7730.957,269
270,7786.052734375,7730.957,270
271,7750.107421875,7730.957,271
272,7610.1591796875,7730.957,272
273,7762.7255859375,7730.957,273
274,7713.0,7730.957,274
275,7745.6982421875,7730.957,275
276,7705.5810546875,7730.957,276
277,7665.4921875,7730.957,277
278,7633.0751953125,7730.957,278
279,8821.0576171875,8941.844,279
280,7572.0166015625,7730.957,280
281,7832.0361328125,7730.957,281
282,8918.166015625,8941.844,282
283,9069.998046875,8941.844,283
284,10181.5849609375,10152.7295,284
285,10292.080078125,10152.7295,285
286,10412.603515625,10152.7295,286
287,11401.216796875,11363.615,287
288,11486.193359375,11363.615,288
289,10356.365234375,10152.7295,289
290,10350.474609375,10152.7295,290
291,11407.080078125,11363.615,291
292,10247.5009765625,10152.7295,292
293,10323.16796875,10152.7295,293
294,10243.6103515625,10152.7295,294
295,10144.564453125,10152.7295,295
296,10209.208984375,10152.7295,296
297,10033.01171875,10152.7295,297
298,8969.388671875,8941.844,298
299,9080.29296875,8941.844,299
300,10176.5625,10152.7295,300
301,10153.333984375,10152.7295,301
302,10545.5390625,10152.7295,302
303,10184.185546875,10152.7295,303
304,10314.263671875,10152.7295,304
305,9000.693359375,8941.844,305
306,8685.66796875,8941.844,306
307,8940.1513671875,8941.844,307
308,9052.486328125,8941.844,308
309,8875.197265625,8941.844,309
310,9064.25,8941.844,310
311,8941.8037109375,8941.844,311
312,8926.20703125,8941.844,312
313,7867.263671875,7730.957,313
314,8964.69140625,8941.844,314
315,8961.892578125,8941.844,315
316,9042.8408203125,8941.844,316
317,8782.998046875,8941.844,317
318,7639.63671875,7730.957,318
319,7765.71923828125,7730.957,319
320,7628.82861328125,7730.957,320
321,8969.734375,8941.844,321
322,8994.927734375,8941.844,322
323,9082.451171875,8941.844,323
324,9046.109375,8941.844,324
325,8984.55859375,8941.844,325
326,9118.765625,8941.844,326
327,8939.939453125,8941.844,327
328,10194.8037109375,10152.7295,328
329,10139.07421875,10152.7295,329
330,10149.1884765625,10152.7295,330
331,10232.59765625,10152.7295,331
332,10255.998046875,10152.7295,332
333,10193.640625,10152.7295,333
334,10208.3671875,10152.7295,334
335,8876.5185546875,8941.844,335
336,7695.4365234375,7730.957,336
337,7678.912109375,7730.957,337
338,7604.3291015625,7730.957,338
339,7724.666015625,7730.957,339
340,7767.498046875,7730.957,340
341,7798.71875,7730.957,341
342,7822.0625,7730.957,342
343,7953.3095703125,7730.957,343
344,7811.033203125,7730.957,344
345,7713.3955078125,7730.957,345
346,7712.1708984375,7730.957,346
347,7866.8076171875,7730.957,347
348,7796.908203125,7730.957,348
349,7698.80859375,7730.957,349
350,7774.1943359375,7730.957,350
351,7780.16162109375,7730.957,351
352,7569.62890625,7730.957,352
353,7730.126953125,7730.957,353
354,7835.9150390625,7730.957,354
355,8921.03515625,8941.844,355
356,9011.24609375,8941.844,356
357,8990.298828125,8941.844,357
358,8950.92578125,8941.844,358
359,8864.37109375,8941.844,359
360,8889.6953125,8941.844,360
361,8920.91796875,8941.844,361
362,9034.703125,8941.844,362
363,9181.59765625,8941.844,363
364,8904.3154296875,8941.844,364
365,7835.880859375,7730.957,365
366,7727.712890625,7730.957,366
367,7835.5068359375,7730.957,367
368,8813.9072265625,8941.844,368
369,8944.25390625,8941.844,369
370,10149.95703125,10152.7295,370
371,9923.400390625,10152.7295,371
372,10181.123046875,10152.7295,372
373,10179.755859375,10152.7295,373
374,10032.193359375,10152.7295,374
375,10164.333984375,10152.7295,375
376,9240.1962890625,8941.844,376
377,8944.447265625,8941.844,377
378,8954.69921875,8941.844,378
379,9002.318359375,8941.844,379
380,7788.4423828125,7730.957,380
381,7760.5693359375,7730.957,381
382,7752.2392578125,7730.957,382
383,7872.8037109375,7730.957,383
384,7762.69921875,7730.957,384
385,7760.9609375,7730.957,385
386,7900.72265625,7730.957,386
387,7776.580078125,7730.957,387
388,7830.8583984375,7730.957,388
389,7617.70947265625,7730.957,389
