,true_n,n,posterior
0,1,1,1.0
1,2,1,0.0
2,3,1,0.0
3,4,1,0.0
4,5,1,0.0
5,6,1,0.0
6,7,1,0.0
7,8,1,0.0
8,9,1,0.0
9,10,1,0.0
10,11,1,0.0
11,12,1,0.0
12,13,1,0.0
13,14,1,0.0
14,15,1,0.0
15,16,1,0.0
16,17,1,0.0
17,18,1,0.0
18,19,1,0.0
19,20,1,0.0
20,21,1,0.0
21,22,1,0.0
22,23,1,0.0
23,24,1,0.0
24,25,1,0.0
25,26,1,0.0
26,27,1,0.0
27,28,1,0.0
28,29,1,0.0
29,30,1,0.0
30,1,2,6.919097e-13
31,2,2,1.0
32,3,2,0.0
33,4,2,0.0
34,5,2,0.0
35,6,2,0.0
36,7,2,0.0
37,8,2,0.0
38,9,2,0.0
39,10,2,0.0
40,11,2,0.0
41,12,2,0.0
42,13,2,0.0
43,14,2,0.0
44,15,2,0.0
45,16,2,0.0
46,17,2,0.0
47,18,2,0.0
48,19,2,0.0
49,20,2,0.0
50,21,2,0.0
51,22,2,0.0
52,23,2,0.0
53,24,2,0.0
54,25,2,0.0
55,26,2,0.0
56,27,2,0.0
57,28,2,0.0
58,29,2,0.0
59,30,2,0.0
60,1,3,1.4142835e-17
61,2,3,3.4522055e-12
62,3,3,0.99999964
63,4,3,0.0
64,5,3,0.0
65,6,3,0.0
66,7,3,0.0
67,8,3,0.0
68,9,3,0.0
69,10,3,0.0
70,11,3,0.0
71,12,3,0.0
72,13,3,0.0
73,14,3,0.0
74,15,3,0.0
75,16,3,0.0
76,17,3,0.0
77,18,3,0.0
78,19,3,0.0
79,20,3,0.0
80,21,3,0.0
81,22,3,0.0
82,23,3,0.0
83,24,3,0.0
84,25,3,0.0
85,26,3,0.0
86,27,3,0.0
87,28,3,0.0
88,29,3,0.0
89,30,3,0.0
90,1,4,5.765887e-17
91,2,4,6.3982057e-21
92,3,4,3.514582e-07
93,4,4,0.99972886
94,5,4,0.0
95,6,4,0.0
96,7,4,0.0
