,posterior_10,posterior_20,n
0,0.0,0.0,1
1,0.0,0.0,2
2,0.0,0.0,3
3,0.0,0.0,4
4,0.0,0.0,5
5,0.0,0.0,6
6,0.0,0.0,7
7,0.0,0.0,8
8,1.5554045e-17,0.0,9
9,0.83059794,0.0,10
10,0.16808832,0.0,11
11,0.0011799891,0.0,12
12,0.00013369032,0.0,13
13,1.1452365e-07,0.0,14
14,2.8573764e-12,0.0,15
15,1.2405317e-08,0.0,16
16,2.5347252e-10,2.1128245e-27,17
17,8.217335e-14,1.8279286e-16,18
18,3.3288503e-16,0.23523682,19
19,1.024e-42,0.419355,20
20,3.4839646e-38,0.23569672,21
21,2.5855545e-34,0.08503089,22
22,5.1342546e-31,0.024266781,23
23,3.2841798e-28,0.0003066693,24
24,8.5627665e-26,7.860552e-05,25
25,9.573988e-24,2.1742864e-05,26
26,5.0961687e-22,6.2660424e-06,27
27,1.6469168e-20,1.169952e-09,28
28,3.0444248e-19,4.9367856e-07,29
29,3.6158836e-18,2.741555e-09,30
30,2.900208e-17,2.7688726e-08,31
31,1.7068648e-16,4.5822817e-09,32
32,2.690525e-16,5.1713905e-10,33
33,2.6440388e-15,4.0033556e-11,34
34,6.9729196e-15,1.4986456e-12,35
