,trace,fit,frames
0,17652.5625,17416.168,0
1,17413.296875,17416.168,1
2,17175.087890625,17416.168,2
3,17296.24609375,17416.168,3
4,16158.4296875,16207.371,4
5,18685.240234375,18624.963,5
6,21134.109375,21042.555,6
7,21015.341796875,21042.555,7
8,21011.4609375,21042.555,8
9,22231.2734375,22251.352,9
10,21936.419921875,22251.352,10
11,22368.67578125,22251.352,11
12,21806.93359375,22251.352,12
13,21164.615234375,21042.555,13
14,21025.5078125,21042.555,14
15,21058.080078125,21042.555,15
16,21076.9921875,21042.555,16
17,22676.7890625,22251.352,17
18,22090.9375,22251.352,18
19,22632.49609375,22251.352,19
20,23354.484375,23460.148,20
21,23819.123046875,23460.148,21
22,23367.638671875,23460.148,22
23,22305.734375,22251.352,23
24,22231.634765625,22251.352,24
25,22359.0390625,22251.352,25
26,20952.4375,21042.555,26
27,19675.02734375,19833.758,27
28,19718.888671875,19833.758,28
29,19816.26171875,19833.758,29
30,18766.560546875,18624.963,30
31,20113.72265625,19833.758,31
32,19933.216796875,19833.758,32
33,19935.08203125,19833.758,33
34,18657.2890625,18624.963,34
35,18508.689453125,18624.963,35
36,16312.2236328125,16207.371,36
37,15192.63671875,14998.575,37
38,15003.060546875,14998.575,38
39,15152.4501953125,14998.575,39
40,14988.6142578125,14998.575,40
41,17278.439453125,17416.168,41
42,18474.86328125,18624.963,42
43,19087.525390625,18624.963,43
44,19760.10546875,19833.758,44
45,21139.51953125,21042.555,45
46,21164.47265625,21042.555,46
47,20966.640625,21042.555,47
48,20988.109375,21042.555,48
49,20775.41796875,21042.555,49
50,21335.759765625,21042.555,50
51,20729.32421875,21042.555,51
52,19760.9921875,19833.758,52
53,18560.458984375,18624.963,53
54,18613.548828125,18624.963,54
55,17092.61328125,17416.168,55
56,18490.13671875,18624.963,56
57,18637.59375,18624.963,57
58,20070.849609375,19833.758,58
59,19530.68359375,19833.758,59
60,19826.265625,19833.758,60
61,20033.296875,19833.758,61
62,19704.85546875,19833.758,62
63,19818.2109375,19833.758,63
64,20006.63671875,19833.758,64
65,18633.37109375,18624.963,65
66,17638.408203125,17416.168,66
67,15221.822265625,14998.575,67
68,14878.0791015625,14998.575,68
69,14994.9677734375,14998.575,69
70,16176.912109375,16207.371,70
71,16033.1201171875,16207.371,71
72,20031.568359375,19833.758,72
73,19722.56640625,19833.758,73
74,18858.6640625,18624.963,74
75,18840.5859375,18624.963,75
