,length,max_likelihoods_5,variance_5,max_likelihoods_10,variance_10,max_likelihoods_15,variance_15,max_likelihoods_20,variance_20
0,100,5,1.1781951244575293,8,3.45348648008453,10,10.035472846028595,10,20.683264683533487
1,500,5,0.27327513339885134,9,1.4812338323405558,14,4.462033094045111,17,5.774889068449119
2,1000,5,0.10720243536991245,10,1.0659988842121266,14,3.264790526805901,20,3.4927370449846817
3,1500,5,0.08520874722954853,10,0.9248968871367219,16,2.029255127346252,20,3.04244069023776
4,2000,5,0.015355718344900784,10,0.5512863572433732,16,1.0342584217500927,17,3.757625096052036
5,2500,5,0.007492347931466452,10,0.5073980254094627,16,0.6797379820539329,18,1.6721572909311764
6,3000,5,0.002550333308122619,10,0.3118926864299221,15,0.9208920337397393,20,1.5497977580948747
7,4000,5,0.001638768037442826,10,0.24946307496087808,15,0.6587129919078615,20,1.2450539983898026
8,5000,5,9.362693662553196e-05,10,0.27973952464532637,15,1.3684654616143503,19,0.6347228760327129
9,7000,5,1.006775779913945e-06,10,0.04455055835573499,15,0.3039039566841682,20,1.20059123309831
10,10000,5,1.6382096052273518e-08,10,0.018520302358189734,15,0.2631885454840225,19,0.5912749533377973
